source_id;step_distance;in_degree;betweenness;eigenvector;pagerank
Beyer2021_TeachingIn;2;1;45.25;0.14285714285714296;0.0023549706671774657
Civil1980_Leslimites;3;3;0.0;0.2857142857142858;0.00254161727796082
Civil1985_Surleslivr;3;4;0.0;0.7142857142857144;0.002721784994922212
George0000_InSearchOf;2;14;376.25;0.5714285714285714;0.0037822777274946584
Hecker1993_Schultexte;3;2;0.0;0.14285714285714282;0.0024764858956677132
Kramer1949_Schooldays;1;7;0.0;1.0;0.0032421886202304378
Larsen1976_TheOldAssy;3;2;0.0;0.14285714285714285;0.0024196878241578954
Michel2008_Ecrireetco;3;2;0.0;0.14285714285714282;0.0024764858956677132
Proust2007_Tablettesm;3;2;0.0;0.14285714285714282;0.0024764858956677132
Robson2001_TheTabletH;2;9;802.1666666666665;0.1428571428571429;0.0031416313811969353
Sjoberg1976_TheOldBaby;3;3;0.0;0.7142857142857141;0.0026001372829127308
Stone1987_NippurNeig;1;6;0.0;0.857142857142857;0.002899434470786505
Tinney1998_TextsTable;3;4;0.0;0.8571428571428571;0.0026084705936960206
Tinney1999_OntheCurri;3;6;0.0;0.8571428571428573;0.0027627755022604917
Veldhuis1997_Elementary;3;10;0.0;0.2857142857142857;0.003238482125972792
Veldhuis2004_ReligionLi;3;3;0.0;0.14285714285714288;0.0026013517532364537
Volk2000_Edubbaaund;3;4;0.0;0.8571428571428571;0.0026084705936960206
Cammarosano2014_TheCuneifo;2;3;551.1666666666667;0.14285714285714282;0.0026053263454330145
Alster1997_Proverbsof;3;6;0.0;0.7142857142857145;0.0030832967117081314
Boehmer1972_DieKleinfu;1;1;0.0;0.14285714285714288;0.0023513539347070826
Boehmer1979_DieKleinfu;1;1;0.0;0.14285714285714288;0.0023513539347070826
Collon2001_Catalogueo;3;2;0.0;0.14285714285714285;0.0028379447827450084
Deimel1922_DieBedeutu;1;1;0.0;0.14285714285714288;0.0023513539347070826
Driver1976_SemiticWri;3;2;0.0;0.14285714285714285;0.0023634539406217465
