source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Gadd1956_TeachersAn;;No;True;;;https://www.persee.fr/doc/syria_0039-7946_1958_num_35_1_5285_t1_0126_0000_3;Gadd C.;;No;1260127(Tome 35);Teachers And Students In The Oldest Schools;Un vol. in-8° de 45 pages. Londres, School of Oriental and African Studies,;;;;Article in Book;1956;;;
Gadotti2017_TheRulesOf;;No;True;;;;Gadotti A.;;No;pp. 89-116;The Rules Of The School;American Oriental Society;;Journal of the American Oriental Society, Vol. 137, No. 1;;Article in Book;2017;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Gadotti2017_TheRulesOf.txt
Garcia0000_Transmissi;;No;True;;;;García J.Á.;;No;325-335;Transmission And Reception Of Babylonian Knowledge In Ugaritnown. A Preliminary Study;;;;;Monograph;Unknown;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Garcia0000_Transmissi.txt
George0000_InSearchOf;;No;True;;;;George A.R.;;No;1-9;In Search Of The É.dub.ba.a: The Ancient Mesopotamian School;;;;;Article;Unknown;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/George0000_InSearchOf.txt
George2005_PerAsperaA;;No;True;;;;George A.R.;;No;pp. 305-307 Vol. 68,;Per Aspera Ad Astra. L'apprentissage Du Cunéiforme À Sippar Amnānum Pendant La Période Paléobabylonienne Tardive By Michel Tanret;;;Bulletin of the School of Oriental and African Studies,;;Article in Book;2005;;;
George2008_Approaches;;No;True;;;;George A.R.;;No;pp. 168-169;Approaches To Sumerian Literature. Studies In Honour Of Stip (h. L. J.vanstiphout) By Piotr Michalowski And Niek Veldhuis;Cambridge University Press on behalf of School of Oriental and African;;Bulletin of the School of Oriental and African Studies, University of London, Vol.71, No. 1;;Article in Book;2008;;;
Gibson0000_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;116-122;Nippur;;;;;Archaeological Report;;;;
Gibson0000_NippurAndI;;No;True;;;http://oi.uchicago.edu/OI/AR/02-03/02-03_AR_TOC.html;Gibson M.;;No;;Nippur And Iraq At A Time Of War;;;;;Archaeological Report, Tablet Translation, Article, Article in Book, Book;2002-2003;;;
Gibson0000_NippurUnde;;No;True;;;oi.uchicago.edu;Gibson M.;;No;40-48;Nippur Under Assyrian Domination: 15th Season Of Excavation, 1981 82.;;;;;Archaeological Report;1981-82;;;
Gibson0000_TheNippurE;;No;True;;;oi.uchicago.edu;Gibson M.;;No;22-30;The Nippur Expedition;;;;;Archaeological Report;Unknown;;;
Gibson1961_Nippur;;No;True;;;oi.uchicago.edu;Gibson M.;;No;80-82;Nippur;;;;;Archaeological Report;1961;;;
Gibson1973_Excavation;;No;True;;;oi.uchicago.edu;Gibson M.;;No;29-38;Excavations At Nippur;;;;;Archaeological Report;1973;;;
Gibson1974_TheNippurE;;No;True;;;oi.uchicago.edu;Gibson M.;;No;27-29;The Nippur Expedition;;;;;Archaeological Report;1974;;;
Gibson1976_TheNippurE;;No;True;;;oi.uchicago.edu;Gibson M.;;No;;The Nippur Expedition;;;;;Archaeological Relies;1976;;;
Gibson1977_NippurRegi;;No;True;;;oi.uchicago.edu;Gibson M.;;No;20-26;Nippur Regional Project: Umm Al Hafriyat;;;;;Archaeological Report;1977;;;
Gibson1980_NippurHamr;;No;True;;;oi.uchicago.edu;Gibson M.;;No;27-30;Nippur, Hamrin, And Related Activities;;;;;Archaeological Report;1980;;;
